first_name,last_name,total_amount
MARY,SMITH,118.68
PATRICIA,JOHNSON,128.73
LINDA,WILLIAMS,135.74
ELIZABETH,BROWN,144.62
MARIA,MILLER,151.67
KAREN,JACKSON,131.73
BETTY,WHITE,117.72
HELEN,HARRIS,134.68
SANDRA,MARTIN,118.72
RUTH,MARTINEZ,125.76
SHARON,ROBINSON,115.7
MICHELLE,CLARK,155.65
LAURA,RODRIGUEZ,113.78
SARAH,LEWIS,119.7
DEBORAH,WALKER,115.71
JESSICA,HALL,152.66
SHIRLEY,ALLEN,126.69
ANGELA,HERNANDEZ,140.64
MELISSA,KING,123.66
AMY,LOPEZ,127.71
VIRGINIA,GREEN,129.68
MARTHA,GONZALEZ,127.66
DEBRA,NELSON,141.71
STEPHANIE,MITCHELL,118.75
CAROLYN,PEREZ,117.7
MARIE,TURNER,114.74
JANET,PHILLIPS,127.73
CATHERINE,CAMPBELL,142.66
JOYCE,EDWARDS,130.72
DIANE,COLLINS,169.65
ALICE,STEWART,138.67
HEATHER,MORRIS,115.7
TERESA,ROGERS,128.71
GLORIA,COOK,135.7
EVELYN,MORGAN,114.72
JEAN,BELL,115.73
CHERYL,MURPHY,133.73
ASHLEY,RICHARDSON,112.75
JANICE,WARD,144.66
KATHY,JAMES,129.7
TAMMY,SANDERS,155.59
LORI,WOOD,141.69
MARILYN,ROSS,137.7
KATHRYN,COLEMAN,130.74
SARA,PERRY,141.67
JACQUELINE,LONG,148.67
WANDA,PATTERSON,145.7
JULIA,FLORES,134.68
LOIS,BUTLER,113.65
TINA,SIMMONS,133.72
CRYSTAL,FORD,137.67
GLADYS,HAMILTON,146.69
DAWN,SULLIVAN,120.74
FLORENCE,WOODS,126.7
TRACY,COLE,132.7
ROSA,REYNOLDS,133.7
CINDY,FISHER,113.71
GRACE,ELLIS,139.67
SHERRY,MARSHALL,153.66
SYLVIA,ORTIZ,143.68
THELMA,MURRAY,126.68
ETHEL,WEBB,135.68
ELLEN,SIMPSON,117.72
MARJORIE,TUCKER,127.68
CARRIE,PORTER,124.66
MONICA,HICKS,128.7
RHONDA,KENNEDY,194.61
AMBER,DIXON,113.73
DEBBIE,REYES,130.68
CLARA,SHAW,195.58
JAMIE,RICE,139.71
JOANNE,ROBERTSON,127.66
ELEANOR,HUNT,216.54
VALERIE,BLACK,121.74
MICHELE,GRANT,130.7
DARLENE,ROSE,113.69
VERONICA,STONE,126.68
GERALDINE,PERKINS,112.7
CATHY,SPENCER,122.71
LYNN,PAYNE,123.72
SALLY,PIERCE,119.68
REGINA,BERRY,135.66
BEATRICE,ARNOLD,119.74
DOLORES,WAGNER,114.74
BERNICE,WILLIS,145.67
AUDREY,RAY,119.71
JUNE,CARROLL,173.63
MARION,SNYDER,194.61
DANA,HART,133.71
ANA,BRADLEY,174.66
HOLLY,FOX,114.69
BRITTANY,RILEY,159.72
ALMA,AUSTIN,151.65
SUE,PETERS,154.6
ELSIE,KELLEY,141.63
JEANNE,LAWSON,136.73
ROSEMARY,SCHMIDT,147.65
TERRI,VASQUEZ,126.73
GERTRUDE,CASTILLO,137.66
TONYA,CHAPMAN,161.68
ELLA,OLIVER,137.69
STACEY,MONTGOMERY,151.66
KRISTIN,JOHNSTON,116.69
CHARLENE,ALVAREZ,114.73
BESSIE,MORRISON,132.72
ARLENE,HARVEY,120.74
JOY,GEORGE,124.67
MARCIA,DEAN,175.58
TANYA,GILBERT,144.67
MINNIE,ROMERO,142.66
MARLENE,WELCH,117.74
HEIDI,LARSON,122.66
GLENDA,FRAZIER,140.68
VIOLA,HANSON,129.68
COURTNEY,DAY,132.68
VICKIE,BREWER,120.69
TERRY,CARLSON,127.71
MAXINE,SILVA,116.68
MABEL,HOLLAND,112.7
MARSHA,DOUGLAS,151.63
LENA,JENSEN,168.68
CHRISTY,VARGAS,122.69
PATSY,DAVIDSON,119.72
HILDA,HOPKINS,122.71
JENNIE,TERRY,133.71
NORA,HERRERA,118.72
MARGIE,WADE,159.64
NINA,SOTO,123.71
CASSANDRA,WALTERS,129.7
PRISCILLA,LOWE,157.65
NAOMI,JENNINGS,152.65
BRANDY,GRAVES,122.72
OLGA,JIMENEZ,144.68
DIANNE,SHELTON,135.69
TRACEY,BARRETT,118.73
SONIA,GREGORY,126.72
MIRIAM,MCKINNEY,135.74
VELMA,LUCAS,117.73
BECKY,MILES,115.71
VIOLET,RODRIQUEZ,142.7
MISTY,LAMBERT,118.73
MAE,FLETCHER,158.69
SHELLY,WATTS,113.74
DAISY,BATES,162.62
RAMONA,HALE,129.7
SHERRI,RHODES,128.67
JAMES,GANNON,131.7
JOHN,FARNSWORTH,137.69
MICHAEL,SILVERMAN,127.71
DAVID,ROYAL,115.74
CHARLES,KOWALSKI,138.68
JOSEPH,JOY,134.7
CHRISTOPHER,GRECO,147.69
PAUL,TROUT,120.77
GEORGE,LINTON,131.67
STEVEN,CURLEY,132.71
EDWARD,BAUGH,114.72
RONALD,WEINER,132.7
KEVIN,SCHULER,116.78
JASON,MORRISSEY,128.72
MATTHEW,MAHAN,114.69
LARRY,THRASHER,112.74
FRANK,WAGGONER,127.68
ERIC,ROBERT,122.73
STEPHEN,QUALLS,118.72
RAYMOND,MCWHORTER,135.7
JOSHUA,MARK,119.7
JERRY,JORDON,143.71
DENNIS,GILMAN,114.72
